Learning Rate,Epochs,Accuracy,Precision,Recall,F1,Training Time
0.001,1000,0.6791666666666667,0.8048780487804879,0.7457627118644068,0.7741935483870969,0.05088409999734722
0.001,2000,0.6833333333333333,0.7790055248618785,0.7966101694915254,0.7877094972067039,0.10007410000253003
0.001,5000,0.7208333333333333,0.7696078431372549,0.8870056497175142,0.8241469816272966,0.24543290000292473
0.01,1000,0.7291666666666666,0.7666666666666667,0.9096045197740112,0.8320413436692506,0.05349959999148268
0.01,2000,0.725,0.7605633802816901,0.9152542372881356,0.8307692307692307,0.12835239998821635
0.01,5000,0.7416666666666667,0.7751196172248804,0.9152542372881356,0.8393782383419689,0.2679931000020588
0.05,1000,0.7416666666666667,0.7751196172248804,0.9152542372881356,0.8393782383419689,0.06161499999871012
0.05,2000,0.7416666666666667,0.7804878048780488,0.903954802259887,0.8376963350785341,0.17271230000187643
0.05,5000,0.7375,0.7794117647058824,0.8983050847457628,0.8346456692913385,0.41533869999693707
0.1,1000,0.7416666666666667,0.7804878048780488,0.903954802259887,0.8376963350785341,0.08080019999761134
0.1,2000,0.7375,0.7766990291262136,0.903954802259887,0.835509138381201,0.13137950000236742
0.1,5000,0.7416666666666667,0.7804878048780488,0.903954802259887,0.8376963350785341,0.4583072999957949
